,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,0.10087722,0.15697509,-0.12150642,0.17429572,0.05996652,-0.106867686
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,False,False,0.16334964,0.08265382,-0.05867053,0.23161194,0.061331496,0.07513404
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,False,False,0.16087772,0.08317382,-0.05894845,0.22906625,0.060311526,0.07377551
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,False,False,0.16094473,0.08295998,-0.059874237,0.22896886,0.062267385,0.07478507
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,False,False,0.16716896,0.08091494,-0.060554832,0.23526737,0.06246022,0.07428774
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,False,False,0.16793533,0.082367405,-0.059488125,0.23638207,0.061586782,0.07354522
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,False,False,0.16773672,0.0824522,-0.05928953,0.23616934,0.06184364,0.074214
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,False,False,0.16908376,0.08274011,-0.05995528,0.23742202,0.062228628,0.07433645
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,False,False,0.1681558,0.08244698,-0.0599805,0.23636192,0.06285189,0.07519415
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,False,False,0.16198489,0.08307613,-0.059349455,0.22995767,0.061894998,0.073972926
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,False,False,0.16745257,0.08312354,-0.060525224,0.23582757,0.06171892,0.07285729
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,False,False,0.16306071,0.08401267,-0.05969979,0.23114681,0.06297034,0.074192196
12,I,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,387302,False,False,0.16651778,0.08336541,-0.060899697,0.23466748,0.061676517,0.0729164
13,x,x,X,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,240338,False,False,0.16512568,0.08225841,-0.0595721,0.2335529,0.061809294,0.07529772
14,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,251002,False,False,0.17109622,0.082213394,-0.05905924,0.23941028,0.06264995,0.075207934
15,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,de,347748,False,False,0.16293006,0.0812437,-0.059795674,0.23084095,0.06303558,0.07528088
16,W,aɪ̯,AI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,205973,False,False,0.16228946,0.08171781,-0.059623886,0.23018312,0.0629101,0.07564507
17,t,t,T,consonant,1: obstruents,plosive, - ,dental/alveolar,voiceless, - , - , - ,t,de,734838,False,False,0.16496246,0.08260503,-0.060184978,0.23320284,0.061931968,0.07364028
18,m,m,M,consonant,2: nasal/approximant,nasal, - ,labial, - , - , - , - , - ,de,276648,False,False,0.16884102,0.0818838,-0.059637383,0.23730493,0.06200359,0.07441493
19,g,ɡ,G,consonant,1: obstruents,plosive, - ,velar/uvular,voiced, - , - , - ,k,de,182517,False,False,0.1667636,0.08253772,-0.05953425,0.23489377,0.062238112,0.07431463
20,s,s,S,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,s,de,353807,False,False,0.16532198,0.08273803,-0.060000286,0.2335603,0.06214852,0.074821815
21,f,f,F,consonant,1: obstruents,fricative, - ,labial,voiceless, - , - , - ,f,de,237297,False,False,0.16614981,0.08183655,-0.05932431,0.23440543,0.062209345,0.07475157
22,U,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,144512,False,False,0.16230372,0.08152556,-0.058846682,0.23049033,0.061821297,0.07529389
23,sp, - ,sp, - , - , - , - , - , - , - , - , - , - ,de,332874,False,False,0.10346074,0.11101061,-0.12965196,0.1554771,0.012824794,-0.14432254
24,h,h,HH,consonant,1: obstruents,fricative, - ,glottal,voiceless, - , - , - , - ,de,112794,False,False,0.16506347,0.08254943,-0.059539434,0.23330629,0.06176436,0.0741461
25,a,aː,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,188265,False,False,0.1693522,0.081736356,-0.06027642,0.23768622,0.06232571,0.074230134
26,b,b,B,consonant,1: obstruents,plosive, - ,labial,voiced, - , - , - ,p,de,173622,False,False,0.16492672,0.08367749,-0.05909498,0.23280954,0.06259408,0.07438105
27,&,a,&,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,376986,False,False,0.16138832,0.08267223,-0.05945474,0.22959533,0.06215632,0.07558991
28,N,ŋ,NG,consonant,2: nasal/approximant,nasal, - ,velar/uvular, - , - , - , - , - ,de,65968,False,False,0.17234929,0.081187546,-0.060062256,0.2409505,0.062357567,0.074527375
29,k,k,K,consonant,1: obstruents,plosive, - ,velar/uvular,voiceless, - , - , - ,k,de,227163,False,False,0.16080742,0.08258301,-0.060411178,0.22873044,0.062958516,0.07378545
30,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,24693,False,False,0.17125429,0.08095784,-0.060405836,0.2395148,0.06257496,0.07469334
31,o,oː,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,136113,False,False,0.1693775,0.082519285,-0.060863826,0.23768678,0.06289571,0.07187258
32,Y,ʏ,Y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,29888,False,False,0.16678783,0.082909666,-0.05964701,0.2351082,0.061427854,0.07389854
33,y,yː,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,42017,False,False,0.16309382,0.08195695,-0.059770416,0.23109347,0.062023878,0.07462792
34,B,aʊ̯,AU,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,100695,False,False,0.163655,0.08324461,-0.058761157,0.231799,0.061570004,0.07479813
35,=,ts,=,consonant,1: obstruents,affricate, - ,dental/alveolar,voiceless, - , - , - , - ,de,142579,False,False,0.16724522,0.08228844,-0.05898273,0.23557183,0.061806634,0.074453615
36,u,uː,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,104364,False,False,0.16341594,0.08254836,-0.060163353,0.23139644,0.06274973,0.07519582
37,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,127251,False,False,0.1694913,0.081895,-0.059561685,0.23775637,0.062357858,0.07489156
38,|,øː,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,17291,False,False,0.1652298,0.0835062,-0.05878061,0.23333344,0.06154398,0.07435779
39,c, - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,94,False,False,0.17010105,0.08010486,-0.06031973,0.23867914,0.061253875,0.07420057
40,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,de,2286,False,False,0.16797447,0.08165377,-0.05942176,0.23643762,0.061014317,0.074823715
41,eins, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,345,False,False,0.16465801,0.08372313,-0.05878779,0.2327753,0.06203323,0.07483326
42,X,ɔʏ̯,OI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,27927,False,False,0.16791901,0.08351499,-0.05867274,0.23611984,0.06213505,0.07516361
43,drei, - ,ER, - , - , - , - , - , - , - , - , - , - ,de,37,False,False,0.16888408,0.08202522,-0.059615985,0.23715508,0.061291844,0.07410486
44,/,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,12673,False,False,0.15840141,0.08213797,-0.05993127,0.2264736,0.061850138,0.07429308
45,+,pf,PF,consonant,1: obstruents,affricate, - ,labial,voiceless, - , - , - , - ,de,8468,False,False,0.16721854,0.082248524,-0.05880999,0.23572221,0.061780915,0.07438761
46,J,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,2957,False,False,0.16774222,0.08195053,-0.060619593,0.2359981,0.062395714,0.07364761
47,~, - ,ons, - , - , - , - , - , - , - , - , - , - ,de,616,False,False,0.16615747,0.08254803,-0.059830442,0.23438737,0.062371947,0.07437432
48,q, - ,@, - , - , - , - , - , - , - , - , - , - ,de,1410,False,False,0.16892473,0.08200601,-0.059933975,0.23757967,0.061506845,0.07494689
49,{, - ,AE, - , - , - , - , - , - , - , - , - , - ,de,7,False,False,0.16704969,0.082359396,-0.059776142,0.23535421,0.061076857,0.07344746
50,sechs, - ,AW, - , - , - , - , - , - , - , - , - , - ,de,20,False,False,0.16504583,0.08242153,-0.05978731,0.233253,0.061614394,0.07438067
51,spn, - ,spn, - , - , - , - , - , - , - , - , - , - ,de,15,False,False,0.62452745,0.0051134285,-0.15077162,0.67461985,0.07241672,0.024405427
52, - , - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,0,False,False,0.16193376,0.08218175,-0.05967831,0.22988892,0.062119834,0.073921174
53,_, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,249,False,False,0.16563578,0.08298734,-0.05863742,0.2337971,0.061559826,0.07485856
54,vier, - ,OY, - , - , - , - , - , - , - , - , - , - ,de,9,False,False,0.17462106,0.08255178,-0.06087228,0.24302778,0.06220492,0.07314209
55,AH,ʌ,AH,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,1752984,True,False,-0.71724117,-0.2717186,-0.10203087,-0.6225357,-0.029109415,-0.0024181544
56,B,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,en,346454,True,True,-0.64298385,0.15626898,0.1363671,-0.56559664,-0.42098373,-0.0630883
57,AW,aʊ,AW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,122632,True,False,-0.53347266,-0.41725725,-0.26539484,-0.41628116,-0.10416301,0.01146182
58,T,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,en,1351742,True,True,-0.70559895,0.2425794,-0.143816,-0.6565459,0.0042668637,-0.058766272
59,IH,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,1138540,True,False,-0.69370997,-0.11113918,0.1265614,-0.6074117,-0.051334403,0.042519946
60,L,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,en,722313,True,False,-0.6598343,-0.13264439,0.17212659,-0.55932635,-0.18110009,0.0070845177
61,EH,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,en,505990,True,False,-0.65676075,-0.3325018,-0.19536729,-0.5544945,-0.05749254,0.01633779
62,V,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,en,308814,True,True,-0.6581137,0.19915955,0.024868157,-0.58368516,-0.23381853,-0.17095959
63,N,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,en,1211189,True,False,-0.6672339,-0.089077845,0.09080152,-0.59560037,-0.16003862,0.028598087
64,AY,aɪ,AY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,371523,True,False,-0.59439355,-0.32901755,-0.28751484,-0.47656387,-0.023216251,-0.041918315
65,W,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,en,428141,True,False,-0.6177202,-0.025076652,0.26035365,-0.52757764,-0.20046498,-0.023990478
66,AO,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,open,monophthong, - ,en,266504,True,False,-0.63405776,-0.3518703,-0.012474768,-0.52785385,-0.057682987,-0.047712132
67,K,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,en,557643,True,True,-0.65220594,0.23592253,-0.09077807,-0.5844142,-0.08748874,-0.037209585
68,AE,æ,AE,vowel,3: vowel,vowel, - , - , - ,front,open,monophthong, - ,en,459972,True,False,-0.6321522,-0.3275909,-0.30005017,-0.5183265,-0.062443603,0.01830424
69,M,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,en,544406,True,False,-0.6574293,-0.0045474297,0.13190703,-0.5789146,-0.21464987,-0.076700605
70,HH,h,HH,consonant,1: obstruents,fricative,dorsal,glottal,voiceless, - , - , - , - ,en,344118,True,True,-0.6231386,0.19117923,-0.096257076,-0.55684847,0.10275198,-0.12276775
71,OW,oʊ,OW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,248749,True,False,-0.59978193,-0.42334273,0.07482706,-0.48714495,-0.12404753,0.026706846
72,EY,eɪ,EY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,303809,True,False,-0.5999993,-0.23818,-0.058787405,-0.49412978,-0.059689295,0.0454951
73,R,ɹ,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,747105,True,False,-0.6733297,-0.17064197,0.04529683,-0.57818425,-0.13757998,0.0069329785
74,IY,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,739292,True,False,-0.6662084,0.061158367,0.21558484,-0.58526886,-0.062401194,0.01578471
75,Z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,en,516448,True,True,-0.635583,0.2833337,-0.11327194,-0.58961093,0.1491985,-0.0102380235
76,TH,θ,TH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,θ,en,112878,True,True,-0.6248479,0.3281451,-0.2153243,-0.58420956,0.07718706,-0.34105465
77,NG,ŋ,NG,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular, - , - , - , - , - ,en,218981,True,False,-0.5451787,-0.0870739,0.17334133,-0.44558436,-0.21512893,0.052073628
78,S,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,en,851225,True,True,-0.6294905,0.3435939,-0.2585597,-0.59071,0.28389826,-0.20906125
79,D,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,en,753534,True,True,-0.6916408,0.16697912,0.14672288,-0.63286644,-0.2607411,0.18409078
80,P,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,en,352090,True,True,-0.6315646,0.29917488,-0.065803096,-0.5717001,-0.18692167,-0.25716552
81,DH,ð,DH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,θ,en,561905,True,True,-0.625087,0.16011286,0.085813105,-0.5689356,-0.26691815,-0.07700257
82,ER,ɝ,ER,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,en,458771,True,False,-0.6480558,-0.30325043,-0.05802259,-0.55606264,-0.08227841,0.030853167
83,AA,ɑ,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,289096,True,False,-0.6280384,-0.44503185,-0.20586924,-0.5140959,-0.0600555,0.04597377
84,UW,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,310148,True,False,-0.5820788,-0.13352987,0.43009105,-0.49557424,-0.10239531,0.090558596
85,SH,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,en,131676,True,True,-0.55385417,0.41138962,-0.23819421,-0.50679517,0.4741277,0.1395067
86,G,ɡ,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,en,173972,True,True,-0.6124426,0.15568785,0.21234941,-0.5335733,-0.3706914,0.23857175
87,F,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,en,303292,True,True,-0.63559556,0.37074193,-0.2363332,-0.5781296,0.097093284,-0.39335907
88,Y,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,191797,True,False,-0.5277834,0.16892858,0.37811276,-0.4602933,-0.057662975,0.18770342
89,CH,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - ,tʃ,en,78718,True,True,-0.53673357,0.34858194,-0.16046849,-0.4983371,0.31479743,0.328833
90,UH,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,95954,True,False,-0.51221573,-0.21997799,0.29184523,-0.4223706,-0.07065432,0.17285834
91,JH,dʒ,JH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiced, - , - , - ,tʃ,en,89166,True,True,-0.5289627,0.3329661,0.098893,-0.4778285,0.0807846,0.56029236
92,ZH,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,en,9603,True,True,-0.34890708,0.32119456,-0.076795235,-0.30168054,0.2951336,0.432172
93,OY,ɔɪ,OY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,40795,True,False,-0.4039515,-0.24379492,0.19551669,-0.29649013,-0.10717589,0.11614497
94,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,fr,238667,True,False,0.74444884,0.018164318,0.12086582,0.8231967,-0.11306368,0.046960603
95,a,a,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,fr,319241,True,False,0.68497735,-0.37659967,-0.3077014,0.77091694,-0.037657745,0.0022573313
96,p,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,fr,119025,True,True,0.7327723,0.21043348,-0.08194062,0.8012323,-0.17917971,-0.23642582
97,R,ʁ,R,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,328043,True,False,0.73430634,-0.08307562,-0.09508703,0.80659586,-0.03331937,-0.054255035
98,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,42506,True,False,0.6520092,-0.3416671,-0.08826539,0.7135078,-0.06390475,-0.07241738
99,e,e,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,209381,True,False,0.72282195,-0.020620015,0.036385972,0.78118145,0.007386381,0.0052577644
100,s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,fr,252822,True,True,0.7305719,0.25106344,-0.26986495,0.7928563,0.35750976,-0.22913559
101,t,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,fr,212881,True,True,0.7517305,0.20696689,-0.18448856,0.80885494,0.03937899,-0.09464801
102,m,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,fr,140654,True,False,0.7306261,-0.009939598,0.09343475,0.8013907,-0.16436699,0.00951161
103,d,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,fr,171140,True,True,0.7523845,0.100426614,0.13768375,0.8178759,-0.27427286,0.18952212
104,o,o,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,96287,True,False,0.71198225,-0.2201984,0.12632118,0.7746884,-0.026500704,0.0018103528
105,deux,ø,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,137441,True,False,0.71545225,-0.10536171,0.120876536,0.767843,0.014378361,0.1012484
106,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,70779,True,False,0.723227,0.14094459,0.1573993,0.775113,0.04232691,0.15843172
107,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,164007,True,False,0.72785354,-0.21768238,-0.15063599,0.80323035,-0.005834467,0.008179112
108,u,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,fr,77121,True,False,0.69762504,-0.07791891,0.2722757,0.7592298,-0.04034465,0.020667123
109,^,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,fr,68878,True,False,0.7304704,-0.14817967,-0.023559935,0.7862565,0.03799289,0.006476363
110,n,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,fr,102279,True,False,0.7709721,-0.06340045,0.13218834,0.8317085,-0.13004792,0.067827046
111,i,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,192930,True,False,0.7530176,0.14178191,0.12789322,0.811236,0.045718864,0.023364596
112,@,ɑ̃,@,vowel,3: vowel,vowel, - , - , - ,back,open,nasal, - ,fr,142830,True,False,0.65516746,-0.23053996,-0.15830956,0.71516824,-0.0260606,0.001265198
113,y,y,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,88876,True,False,0.70269454,0.02117768,0.26535353,0.758262,0.014349256,0.08801174
114,cinq,ɛ̃,cinq,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,57477,True,False,0.61670417,-0.28591728,-0.26398492,0.6765866,-0.08260913,-0.013964688
115,k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,fr,135627,True,True,0.7452517,0.21008189,-0.07365207,0.8160352,-0.03875698,-0.0009193211
116,un,œ̃,un,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,15171,True,False,0.58362997,-0.21153294,-0.2821303,0.6404602,-0.03835853,0.020902893
117,f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,fr,48598,True,True,0.6928775,0.26968136,-0.25566378,0.76480997,0.2036829,-0.3833964
118,w,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,43272,True,False,0.67285365,-0.025499761,0.13468556,0.7277614,-0.043833032,-0.046361692
119,g,g,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,fr,24112,True,True,0.67303413,0.09827322,0.2496264,0.7601337,-0.37367693,0.28173134
120,N,ɔ̃,ons,vowel,3: vowel,vowel, - , - , - ,back,mid,nasal, - ,fr,71498,True,False,0.68689126,-0.1630656,0.16377233,0.7408526,-0.09024814,0.060364705
121,z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,fr,41531,True,True,0.68203306,0.1677361,-0.055563748,0.74704105,0.1182771,0.02590248
122,huit,ɥ,huit,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,18010,True,False,0.63062567,0.1495084,0.24074432,0.6736303,-0.030596664,0.04922618
123,v,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,fr,94351,True,True,0.75947356,0.13756739,0.040441807,0.8348691,-0.19093952,-0.08706537
124,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,fr,24009,True,True,0.64000714,0.27819332,-0.30994812,0.71516377,0.48527843,0.034037985
125,neuf,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,18661,True,False,0.6129771,-0.27292934,-0.04500827,0.6655698,-0.00054817647,0.061771102
126,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,fr,50971,True,True,0.66397166,0.24186704,-0.07203526,0.7353942,0.23981848,0.28458154
127,b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,fr,47877,True,True,0.70193595,0.090428434,0.18762587,0.7872016,-0.4387956,0.07302088
128,G, - ,NG, - , - , - , - , - , - , - , - , - , - ,fr,164,False,False,0.46446836,0.06864448,0.119513854,0.5300284,-0.062896654,0.13811858
129,x, - ,X, - , - , - , - , - , - , - , - , - , - ,fr,63,False,False,0.36876592,0.14422542,-0.07686977,0.43646932,0.20233433,0.19969817
